CODIGO_SINIESTRO,FECHA_SINIESTRO,HORA_SINIESTRO,CLASE_SINIESTRO,CANTIDAD_FALLECIDOS,CANTIDAD_LESIONADOS,CANTIDAD_VEHICULOS,DEPARTAMENTO,PROVINCIA,DISTRITO,ZONA,TIPO_VIA,RED_VIAL,COD_CARRETERA,LATITUD,LONGITUD,CONDICION_CLIMATICA,ZONIFICACION,CARACTERISTICAS_VIA,PERFIL_VIA,SUPERFICIE_CALZADA,EXISTE_SENIAL_VERTICAL,CLASIFICACION_SENIAL_VERTICAL_1,CLASIFICACION_SENIAL_VERTICAL_2,EXISTE_SENIAL_HORIZONTAL,CAUSA_FACTOR_PRINCIPAL,CAUSA_ESPECIFICA,HORA,severidad,ANIO,MES,DIA_SEMANA,FIN_SEMANA,FRANJA_HORARIA,TEMPORADA,MACROREGION,TIPO_VIA_SCORE,PERFIL_VIA_SCORE,SUPERFICIE_CALZADA_SCORE,RIESGO_INFRAESTRUCTURA,RIESGO_CLIMATICO,SENIALIZACION_DEFICIENTE,EDAD_PROMEDIO,EDAD_STD,TOTAL_ALCOHOL,TOTAL_LICENCIA,TOTAL_PERSONAS,PCT_ALCOHOL,PCT_LICENCIA,ES_NOCHE
CÓDIGO SINIESTRO,,HORA SINIESTRO,CLASE SINIESTRO,0,0,0,DEPARTAMENTO,PROVINCIA,DISTRITO,ZONA,TIPO DE VÍA,RED VIAL,COD CARRETERA,,,CONDICIÓN CLIMÁTICA,ZONIFICACIÓN,CARACTERÍSTICAS DE VÍA,PERFIL LONGITUDINAL VÍA,SUPERFICIE DE CALZADA,¿EXISTE SEÑAL VERTICAL?,CLASIFICACIÓN DE LA SEÑAL VERTICAL Nº 1,CLASIFICACIÓN DE LA SEÑAL VERTICAL Nº 2,¿EXISTE SEÑAL HORIZONTAL?,CAUSA FACTOR PRINCIPAL,CAUSA ESPECÍFICA,,2,,,,0,2,0,3,1.0,1.0,1.0,3.0,0,0,0.0,0.0,0,0,1,0.0,0.0,0
A-2021-01-23,2021-01-01,04:40,DESPISTE,1,0,1,LIMA,HUARAL,HUARAL,RURAL,CARRETERA,PROVINCIAL,LM-671,-11.4828792384881,-77.25554675971524,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,TROCHA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,4.0,0,2021.0,1.0,4.0,0,0,0,0,0.0,0.0,2.0,2.0,0,0,21.0,0.0,0,1,1,0.0,1.0,1
A-2021-01-248,2021-01-01,05:45,DESPISTE,1,3,0,LIMA,LIMA,PACHACAMAC,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.2294,-76.859412,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,5.0,0,2021.0,1.0,4.0,0,0,0,0,1.0,0.0,0.0,1.0,0,0,29.25,26.348624252510795,2,1,4,0.5,0.25,1
A-2021-01-38,2021-01-01,06:00,ATROPELLO FUGA,2,0,0,LA LIBERTAD,VIRU,VIRU,URBANA,CARRETERA,PROVINCIAL,LI-1150,-8.414865,-78.754544,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,6.0,1,2021.0,1.0,4.0,0,1,0,0,0.0,0.0,0.0,0.0,0,0,38.0,0.0,0,0,2,0.0,0.0,0
A-2021-01-39,2021-01-01,07:00,CHOQUE,1,0,2,LA LIBERTAD,VIRU,VIRU,RURAL,CARRETERA,NACIONAL,PE-1N,-8.432617,-78.772242,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,GIRAR IMPRUDENTEMENTE,7.0,0,2021.0,1.0,4.0,0,1,0,0,0.0,0.0,0.0,0.0,0,0,41.0,9.899494936611665,0,0,3,0.0,0.0,0
A-2021-01-254,2021-01-01,14:00,ATROPELLO,1,1,0,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.164406,-76.953426,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,14.0,0,2021.0,1.0,4.0,0,2,0,0,1.0,0.0,0.0,1.0,0,0,23.0,9.899494936611665,1,1,2,0.5,0.5,0
A-2021-01-22,2021-01-01,17:45,CHOQUE,1,1,2,SAN MARTIN,RIOJA,RIOJA,URBANA,JIRÓN,URBANO,NO CORRESPONDE,-6.063829,-77.171368,LLUVIOSO,COMERCIAL,INTERSECCIÓN,PLANA ,CONCRETO,SI,REGULADORA (R),INFORMATIVA (I),SI,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN SENTIDO CONTRARIO,17.0,0,2021.0,1.0,4.0,0,2,0,2,1.0,0.0,0.0,1.0,1,0,47.0,33.94112549695428,0,1,2,0.0,0.5,0
A-2021-01-67,2021-01-01,21:00,CHOQUE CON OBJETO FIJO,1,0,1,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,RURAL,CARRETERA,NACIONAL,PE-1N,-6.680472,-79.903582,DESPEJADO,INDUSTRIAL,CURVA,PLANA ,ASFALTADA,SI,PREVENTIVA (P),,NO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,21.0,0,2021.0,1.0,4.0,0,3,0,0,0.0,0.0,0.0,0.0,0,1,40.0,12.727922061357855,1,0,2,0.5,0.0,1
A-2021-01-21,2021-01-02,08:45,CHOQUE,1,0,2,PIURA,PIURA,PIURA,URBANA,OTRO,URBANO,NO CORRESPONDE,-5.164955595374173,-80.65128116025174,DESPEJADO,RURAL,INTERSECCIÓN,PLANA ,CONCRETO,SI,PREVENTIVA (P),REGULADORA (R),SI,IMPRUDENCIA DEL CONDUCTOR,NO ESTABLECER EL DERECHO DE PASO,8.0,0,2021.0,1.0,5.0,1,1,0,0,2.0,0.0,0.0,2.0,0,0,45.333333333333336,11.590225767142472,0,1,3,0.0,0.333,0
A-2021-01-26,2021-01-02,09:40,CHOQUE,1,1,2,JUNIN,YAULI,MOROCOCHA,URBANA,CARRETERA,NACIONAL,PE-22,-11.5916549,-76.0752901,DESPEJADO,COMERCIAL,OTRO,INCLINADA,ASFALTADA,SI,REGULADORA (R),PREVENTIVA (P),SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,9.0,0,2021.0,1.0,5.0,1,1,0,1,0.0,1.0,0.0,1.0,0,0,41.0,5.656854249492381,0,2,2,0.0,1.0,0
A-2021-01-226,2021-01-02,13:00,CHOQUE,1,0,2,PUNO,AZANGARO,AZANGARO,RURAL,CARRETERA,NACIONAL,PE-34B,-14.92116,-70.204043,LLUVIOSO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR),13.0,0,2021.0,1.0,5.0,1,2,0,1,0.0,0.0,0.0,0.0,1,0,40.5,23.33452377915607,0,1,2,0.0,0.5,0
A-2021-01-36,2021-01-02,21:45,ATROPELLO,1,0,1,ANCASH,SANTA,CHIMBOTE,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-9.103893283331551,-78.5542565472423,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,REGULADORA (R),,,IMPRUDENCIA DEL PEATÓN,ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,21.0,0,2021.0,1.0,5.0,1,3,0,0,1.0,0.0,0.0,1.0,0,0,62.5,17.67766952966369,0,0,2,0.0,0.0,1
A-2021-01-44,2021-01-02,22:00,CHOQUE,1,3,2,PIURA,SULLANA,MIGUEL CHECA,URBANA,CARRETERA,DEPARTAMENTAL,PI-102,-4.904804841419826,-80.81424317099258,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,NO,,,NO,IMPRUDENCIA DEL CONDUCTOR,ADELANTAR INDEBIDAMENTE,22.0,0,2021.0,1.0,5.0,1,3,0,0,0.0,0.0,0.0,0.0,0,2,23.75,5.188127472091128,1,0,4,0.25,0.0,1
A-2021-01-258,2021-01-03,00:35,ATROPELLO FUGA,1,0,0,LIMA,LIMA,VILLA EL SALVADOR,URBANA,CARRETERA,NACIONAL,PE-1S,-12.225604,-76.971698,SOLEADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,0.0,0,2021.0,1.0,6.0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,0,2,0.5,0.0,1
A-2021-01-40,2021-01-03,09:30,CHOQUE,1,1,2,LA LIBERTAD,ASCOPE,CHICAMA,RURAL,CARRETERA,NACIONAL,PE-1N,-7.84524,-79.150883,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,GIRAR IMPRUDENTEMENTE,9.0,0,2021.0,1.0,6.0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,54.333333333333336,7.023769168568491,0,1,3,0.0,0.333,0
