feature,importance
TOTAL_PERSONAS,4.22108013117141
CANTIDAD_LESIONADOS,3.4000112895897985
PCT_LICENCIA,0.5430511815532978
TOTAL_LICENCIA,0.3215630657177018
RIESGO_INFRAESTRUCTURA,0.20739751231408574
PCT_ALCOHOL,0.17757892257094718
TOTAL_ALCOHOL,0.15864749282021823
MACROREGION,0.13921841821973238
HORA,0.11977694292039377
FIN_SEMANA,0.11828321645077457
DIA_SEMANA,0.09962418940109413
LATITUD,0.09558348311821847
TEMPORADA,0.0873483950214589
CANTIDAD_VEHICULOS,0.07973854974388454
LONGITUD,0.07641400920071643
RIESGO_CLIMATICO,0.07512568023032197
ANIO,0.07419924912703961
EDAD_PROMEDIO,0.04945006186644026
MES,0.03577953897852767
EDAD_STD,0.03284539418836662
ES_NOCHE,0.024452692319930303
SENIALIZACION_DEFICIENTE,0.017023697198903096
